       fs delta /ha_mixed_tb/a_tb /ha_mixed_tb/b_tb /ha_mixed_tb/sum_tb /ha_mixed_tb/carry_in_tb /ha_mixed_tb/carry_out_tb 
        0     0                 U                 U                   U                        U                         U 
        0     1                 0                 0                   U                        0                         U 
        0     3                 0                 0                   U                        0                         0 
        0     5                 0                 0                   0                        0                         0 
 20000000     1                 0                 0                   0                        1                         0 
 20000000     5                 0                 0                   1                        1                         0 
 40000000     1                 0                 1                   1                        0                         0 
 40000000     3                 0                 1                   1                        0                         1 
 40000000     4                 0                 1                   0                        0                         1 
 40000000     5                 0                 1                   0                        0                         0 
 40000000     6                 0                 1                   1                        0                         0 
 60000000     1                 0                 1                   1                        1                         0 
 60000000     5                 0                 1                   1                        1                         1 
 60000000     6                 0                 1                   0                        1                         1 
 80000000     1                 1                 0                   0                        0                         1 
 80000000     3                 1                 0                   0                        0                         0 
 80000000     4                 1                 0                   1                        0                         0 
 80000000     5                 1                 0                   0                        0                         0 
 80000000     6                 1                 0                   1                        0                         0 
100000000     1                 1                 0                   1                        1                         0 
100000000     3                 1                 0                   1                        1                         1 
100000000     6                 1                 0                   0                        1                         1 
120000000     1                 1                 1                   0                        0                         1 
120000000     3                 1                 1                   1                        0                         0 
120000000     6                 1                 1                   1                        0                         1 
120000000     7                 1                 1                   0                        0                         1 
140000000     1                 1                 1                   0                        1                         1 
140000000     7                 1                 1                   1                        1                         1 
160000000     1                 0                 0                   1                        0                         1 
160000000     3                 0                 0                   0                        0                         0 
180000000     1                 0                 0                   0                        1                         0 
180000000     5                 0                 0                   1                        1                         0 
200000000     1                 0                 1                   1                        0                         0 
200000000     3                 0                 1                   1                        0                         1 
200000000     4                 0                 1                   0                        0                         1 
200000000     5                 0                 1                   0                        0                         0 
200000000     6                 0                 1                   1                        0                         0 
220000000     1                 0                 1                   1                        1                         0 
220000000     5                 0                 1                   1                        1                         1 
220000000     6                 0                 1                   0                        1                         1 
240000000     1                 1                 0                   0                        0                         1 
240000000     3                 1                 0                   0                        0                         0 
240000000     4                 1                 0                   1                        0                         0 
240000000     5                 1                 0                   0                        0                         0 
240000000     6                 1                 0                   1                        0                         0 
260000000     1                 1                 0                   1                        1                         0 
260000000     3                 1                 0                   1                        1                         1 
260000000     6                 1                 0                   0                        1                         1 
280000000     1                 1                 1                   0                        0                         1 
280000000     3                 1                 1                   1                        0                         0 
280000000     6                 1                 1                   1                        0                         1 
280000000     7                 1                 1                   0                        0                         1 
300000000     1                 1                 1                   0                        1                         1 
300000000     7                 1                 1                   1                        1                         1 
320000000     1                 0                 0                   1                        0                         1 
320000000     3                 0                 0                   0                        0                         0 
340000000     1                 0                 0                   0                        1                         0 
340000000     5                 0                 0                   1                        1                         0 
360000000     1                 0                 1                   1                        0                         0 
360000000     3                 0                 1                   1                        0                         1 
360000000     4                 0                 1                   0                        0                         1 
360000000     5                 0                 1                   0                        0                         0 
360000000     6                 0                 1                   1                        0                         0 
380000000     1                 0                 1                   1                        1                         0 
380000000     5                 0                 1                   1                        1                         1 
380000000     6                 0                 1                   0                        1                         1 
400000000     1                 1                 0                   0                        0                         1 
400000000     3                 1                 0                   0                        0                         0 
400000000     4                 1                 0                   1                        0                         0 
400000000     5                 1                 0                   0                        0                         0 
400000000     6                 1                 0                   1                        0                         0 
420000000     1                 1                 0                   1                        1                         0 
420000000     3                 1                 0                   1                        1                         1 
420000000     6                 1                 0                   0                        1                         1 
440000000     1                 1                 1                   0                        0                         1 
440000000     3                 1                 1                   1                        0                         0 
440000000     6                 1                 1                   1                        0                         1 
440000000     7                 1                 1                   0                        0                         1 
460000000     1                 1                 1                   0                        1                         1 
460000000     7                 1                 1                   1                        1                         1 
480000000     1                 0                 0                   1                        0                         1 
480000000     3                 0                 0                   0                        0                         0 
500000000     1                 0                 0                   0                        1                         0 
500000000     5                 0                 0                   1                        1                         0 
520000000     1                 0                 1                   1                        0                         0 
520000000     3                 0                 1                   1                        0                         1 
520000000     4                 0                 1                   0                        0                         1 
520000000     5                 0                 1                   0                        0                         0 
520000000     6                 0                 1                   1                        0                         0 
