       fs delta /ha_mixed_tb/a_tb /ha_mixed_tb/b_tb /ha_mixed_tb/sum_tb /ha_mixed_tb/carry_in_tb /ha_mixed_tb/carry_out_tb 
        0     0                 U                 U                   U                        U                         U 
        0     1                 0                 0                   U                        0                         U 
 10000000     2                 0                 0                   0                        0                         0 
 20000000     1                 0                 0                   0                        1                         0 
 30000000     2                 0                 0                   1                        1                         0 
 40000000     1                 0                 1                   1                        0                         0 
 60000000     1                 0                 1                   1                        1                         0 
 70000000     2                 0                 1                   0                        1                         1 
 80000000     1                 1                 0                   0                        0                         1 
 90000000     2                 1                 0                   1                        0                         0 
100000000     1                 1                 0                   1                        1                         0 
110000000     2                 1                 0                   0                        1                         1 
120000000     1                 1                 1                   0                        0                         1 
140000000     1                 1                 1                   0                        1                         1 
150000000     2                 1                 1                   1                        1                         1 
160000000     1                 0                 0                   1                        0                         1 
170000000     2                 0                 0                   0                        0                         0 
180000000     1                 0                 0                   0                        1                         0 
190000000     2                 0                 0                   1                        1                         0 
200000000     1                 0                 1                   1                        0                         0 
220000000     1                 0                 1                   1                        1                         0 
230000000     2                 0                 1                   0                        1                         1 
240000000     1                 1                 0                   0                        0                         1 
250000000     2                 1                 0                   1                        0                         0 
260000000     1                 1                 0                   1                        1                         0 
270000000     2                 1                 0                   0                        1                         1 
280000000     1                 1                 1                   0                        0                         1 
300000000     1                 1                 1                   0                        1                         1 
310000000     2                 1                 1                   1                        1                         1 
320000000     1                 0                 0                   1                        0                         1 
330000000     2                 0                 0                   0                        0                         0 
340000000     1                 0                 0                   0                        1                         0 
350000000     2                 0                 0                   1                        1                         0 
360000000     1                 0                 1                   1                        0                         0 
380000000     1                 0                 1                   1                        1                         0 
390000000     2                 0                 1                   0                        1                         1 
400000000     1                 1                 0                   0                        0                         1 
410000000     2                 1                 0                   1                        0                         0 
420000000     1                 1                 0                   1                        1                         0 
430000000     2                 1                 0                   0                        1                         1 
440000000     1                 1                 1                   0                        0                         1 
460000000     1                 1                 1                   0                        1                         1 
470000000     2                 1                 1                   1                        1                         1 
480000000     1                 0                 0                   1                        0                         1 
490000000     2                 0                 0                   0                        0                         0 
500000000     1                 0                 0                   0                        1                         0 
510000000     2                 0                 0                   1                        1                         0 
520000000     1                 0                 1                   1                        0                         0 
