Timer started ...
MOD: delay(30 30), type(tBUF), from(valid.OUT), to(valid.PAD)
MOD: delay(70 70), type(tPDi), from(valid ), to(valid.OUT)
MOD: delay(30 30), type(tBUF), from(sample_clk.OUT), to(sample_clk.PAD)
MOD: delay(70 70), type(tPDi), from(sample_clk ), to(sample_clk.OUT)
MOD: delay(110 110), type(tSRi), from(serial_out.AR ), to(serial_out.Q )
MOD: delay(30 30), type(tBUF), from(serial_out.Q ), to(serial_out.PAD)
MOD: delay(30 30), type(tCOSi), from(serial_out.C ), to(serial_out.Q )
CHK: delay(100 100), type(tSRW), from(serial_out.AR ), to(serial_out.AR )
CHK: delay(80 80), type(tSRR), from(serial_out.AR ), to(serial_out.C )
CHK: delay(50 50), type(tWLS), from(serial_out.C ), to(serial_out.C )
CHK: delay(50 50), type(tWHS), from(serial_out.C ), to(serial_out.C )
CHK: delay(0 0), type(tHS), from(serial_out.D ), to(serial_out.C )
CHK: delay(55 55), type(tSS), from(serial_out.D ), to(serial_out.C )
MOD: delay(110 110), type(tSRi), from(u2_q.AR ), to(u2_q.Q )
MOD: delay(30 30), type(tCOSi), from(u2_q.C ), to(u2_q.Q )
CHK: delay(100 100), type(tSRW), from(u2_q.AR ), to(u2_q.AR )
CHK: delay(80 80), type(tSRR), from(u2_q.AR ), to(u2_q.C )
CHK: delay(50 50), type(tWLS), from(u2_q.C ), to(u2_q.C )
CHK: delay(50 50), type(tWHS), from(u2_q.C ), to(u2_q.C )
CHK: delay(0 0), type(tHS), from(u2_q.D ), to(u2_q.C )
CHK: delay(55 55), type(tSS), from(u2_q.D ), to(u2_q.C )
MOD: delay(110 110), type(tSRi), from(u1_q_3_.AR ), to(u1_q_3_.Q )
MOD: delay(30 30), type(tCOSi), from(u1_q_3_.C ), to(u1_q_3_.Q )
CHK: delay(100 100), type(tSRW), from(u1_q_3_.AR ), to(u1_q_3_.AR )
CHK: delay(80 80), type(tSRR), from(u1_q_3_.AR ), to(u1_q_3_.C )
CHK: delay(50 50), type(tWLS), from(u1_q_3_.C ), to(u1_q_3_.C )
CHK: delay(50 50), type(tWHS), from(u1_q_3_.C ), to(u1_q_3_.C )
CHK: delay(0 0), type(tHS), from(u1_q_3_.D ), to(u1_q_3_.C )
CHK: delay(55 55), type(tSS), from(u1_q_3_.D ), to(u1_q_3_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_0_.C ), to(u1_cnt_int_count_0_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_0_.C ), to(u1_cnt_int_count_0_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_0_.C ), to(u1_cnt_int_count_0_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_0_.D ), to(u1_cnt_int_count_0_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_0_.D ), to(u1_cnt_int_count_0_.C )
MOD: delay(70 70), type(tPDi), from(u1_cnt_int_un5_count_26_n.X2 ), to(u1_cnt_int_un5_count_26_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_cnt_int_un5_count_26_n.X1 ), to(u1_cnt_int_un5_count_26_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_cnt_int_un5_count_27_n.X2 ), to(u1_cnt_int_un5_count_27_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_cnt_int_un5_count_27_n.X1 ), to(u1_cnt_int_un5_count_27_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_cnt_int_un5_count_28_n.X2 ), to(u1_cnt_int_un5_count_28_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_cnt_int_un5_count_28_n.X1 ), to(u1_cnt_int_un5_count_28_n.OUT)
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_1_.C ), to(u1_cnt_int_count_1_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_1_.C ), to(u1_cnt_int_count_1_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_1_.C ), to(u1_cnt_int_count_1_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_1_.D ), to(u1_cnt_int_count_1_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_1_.D ), to(u1_cnt_int_count_1_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_2_.C ), to(u1_cnt_int_count_2_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_2_.C ), to(u1_cnt_int_count_2_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_2_.C ), to(u1_cnt_int_count_2_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_2_.D.X2 ), to(u1_cnt_int_count_2_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_2_.D.X2 ), to(u1_cnt_int_count_2_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_2_.D.X1 ), to(u1_cnt_int_count_2_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_2_.D.X1 ), to(u1_cnt_int_count_2_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_3_.C ), to(u1_cnt_int_count_3_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_3_.C ), to(u1_cnt_int_count_3_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_3_.C ), to(u1_cnt_int_count_3_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_3_.T.X2 ), to(u1_cnt_int_count_3_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_3_.T.X2 ), to(u1_cnt_int_count_3_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_3_.T.X1 ), to(u1_cnt_int_count_3_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_3_.T.X1 ), to(u1_cnt_int_count_3_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_4_.C ), to(u1_cnt_int_count_4_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_4_.C ), to(u1_cnt_int_count_4_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_4_.C ), to(u1_cnt_int_count_4_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_4_.T ), to(u1_cnt_int_count_4_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_4_.T ), to(u1_cnt_int_count_4_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_5_.C ), to(u1_cnt_int_count_5_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_5_.C ), to(u1_cnt_int_count_5_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_5_.C ), to(u1_cnt_int_count_5_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_5_.T ), to(u1_cnt_int_count_5_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_5_.T ), to(u1_cnt_int_count_5_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_6_.C ), to(u1_cnt_int_count_6_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_6_.C ), to(u1_cnt_int_count_6_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_6_.C ), to(u1_cnt_int_count_6_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_6_.T ), to(u1_cnt_int_count_6_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_6_.T ), to(u1_cnt_int_count_6_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_7_.C ), to(u1_cnt_int_count_7_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_7_.C ), to(u1_cnt_int_count_7_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_7_.C ), to(u1_cnt_int_count_7_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_7_.T ), to(u1_cnt_int_count_7_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_7_.T ), to(u1_cnt_int_count_7_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_8_.C ), to(u1_cnt_int_count_8_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_8_.C ), to(u1_cnt_int_count_8_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_8_.C ), to(u1_cnt_int_count_8_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_8_.T ), to(u1_cnt_int_count_8_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_8_.T ), to(u1_cnt_int_count_8_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_9_.C ), to(u1_cnt_int_count_9_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_9_.C ), to(u1_cnt_int_count_9_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_9_.C ), to(u1_cnt_int_count_9_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_9_.T ), to(u1_cnt_int_count_9_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_9_.T ), to(u1_cnt_int_count_9_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_10_.C ), to(u1_cnt_int_count_10_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_10_.C ), to(u1_cnt_int_count_10_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_10_.C ), to(u1_cnt_int_count_10_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_10_.T ), to(u1_cnt_int_count_10_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_10_.T ), to(u1_cnt_int_count_10_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_11_.C ), to(u1_cnt_int_count_11_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_11_.C ), to(u1_cnt_int_count_11_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_11_.C ), to(u1_cnt_int_count_11_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_11_.T ), to(u1_cnt_int_count_11_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_11_.T ), to(u1_cnt_int_count_11_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_12_.C ), to(u1_cnt_int_count_12_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_12_.C ), to(u1_cnt_int_count_12_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_12_.C ), to(u1_cnt_int_count_12_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_12_.T ), to(u1_cnt_int_count_12_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_12_.T ), to(u1_cnt_int_count_12_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_13_.C ), to(u1_cnt_int_count_13_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_13_.C ), to(u1_cnt_int_count_13_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_13_.C ), to(u1_cnt_int_count_13_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_13_.T ), to(u1_cnt_int_count_13_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_13_.T ), to(u1_cnt_int_count_13_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_14_.C ), to(u1_cnt_int_count_14_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_14_.C ), to(u1_cnt_int_count_14_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_14_.C ), to(u1_cnt_int_count_14_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_14_.T ), to(u1_cnt_int_count_14_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_14_.T ), to(u1_cnt_int_count_14_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_15_.C ), to(u1_cnt_int_count_15_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_15_.C ), to(u1_cnt_int_count_15_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_15_.C ), to(u1_cnt_int_count_15_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_15_.T ), to(u1_cnt_int_count_15_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_15_.T ), to(u1_cnt_int_count_15_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_16_.C ), to(u1_cnt_int_count_16_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_16_.C ), to(u1_cnt_int_count_16_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_16_.C ), to(u1_cnt_int_count_16_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_16_.T ), to(u1_cnt_int_count_16_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_16_.T ), to(u1_cnt_int_count_16_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_17_.C ), to(u1_cnt_int_count_17_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_17_.C ), to(u1_cnt_int_count_17_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_17_.C ), to(u1_cnt_int_count_17_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_17_.D ), to(u1_cnt_int_count_17_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_17_.D ), to(u1_cnt_int_count_17_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_18_.C ), to(u1_cnt_int_count_18_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_18_.C ), to(u1_cnt_int_count_18_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_18_.C ), to(u1_cnt_int_count_18_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_18_.D.X2 ), to(u1_cnt_int_count_18_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_18_.D.X2 ), to(u1_cnt_int_count_18_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_18_.D.X1 ), to(u1_cnt_int_count_18_.C )
CHK: delay(55 55), type(tSS), from(u1_cnt_int_count_18_.D.X1 ), to(u1_cnt_int_count_18_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_19_.C ), to(u1_cnt_int_count_19_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_19_.C ), to(u1_cnt_int_count_19_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_19_.C ), to(u1_cnt_int_count_19_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_19_.T ), to(u1_cnt_int_count_19_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_19_.T ), to(u1_cnt_int_count_19_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_20_.C ), to(u1_cnt_int_count_20_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_20_.C ), to(u1_cnt_int_count_20_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_20_.C ), to(u1_cnt_int_count_20_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_20_.T ), to(u1_cnt_int_count_20_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_20_.T ), to(u1_cnt_int_count_20_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_21_.C ), to(u1_cnt_int_count_21_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_21_.C ), to(u1_cnt_int_count_21_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_21_.C ), to(u1_cnt_int_count_21_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_21_.T ), to(u1_cnt_int_count_21_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_21_.T ), to(u1_cnt_int_count_21_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_22_.C ), to(u1_cnt_int_count_22_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_22_.C ), to(u1_cnt_int_count_22_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_22_.C ), to(u1_cnt_int_count_22_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_22_.T ), to(u1_cnt_int_count_22_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_22_.T ), to(u1_cnt_int_count_22_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_23_.C ), to(u1_cnt_int_count_23_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_23_.C ), to(u1_cnt_int_count_23_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_23_.C ), to(u1_cnt_int_count_23_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_23_.T ), to(u1_cnt_int_count_23_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_23_.T ), to(u1_cnt_int_count_23_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_24_.C ), to(u1_cnt_int_count_24_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_24_.C ), to(u1_cnt_int_count_24_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_24_.C ), to(u1_cnt_int_count_24_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_24_.T ), to(u1_cnt_int_count_24_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_24_.T ), to(u1_cnt_int_count_24_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_25_.C ), to(u1_cnt_int_count_25_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_25_.C ), to(u1_cnt_int_count_25_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_25_.C ), to(u1_cnt_int_count_25_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_25_.T ), to(u1_cnt_int_count_25_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_25_.T ), to(u1_cnt_int_count_25_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_26_.C ), to(u1_cnt_int_count_26_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_26_.C ), to(u1_cnt_int_count_26_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_26_.C ), to(u1_cnt_int_count_26_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_26_.T ), to(u1_cnt_int_count_26_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_26_.T ), to(u1_cnt_int_count_26_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_27_.C ), to(u1_cnt_int_count_27_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_27_.C ), to(u1_cnt_int_count_27_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_27_.C ), to(u1_cnt_int_count_27_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_27_.T ), to(u1_cnt_int_count_27_.C )
